,text,listed_count,statuses_count,followers_count,favourites_count,friends_count,full_name,place_lat,place_lon,negative,positive,sentclass
1392,@hipieman come to Aberdeen and work at @Starbucks with me!,1,139,49,241,104,"Aberdeen, WA",46.976568,-123.819267,0,0,2
1776,Join the Starbucks team! See our latest #job opening here: https://t.co/jWfKIzcL2o #Hospitality #Veterans #Hiring #CareerArc,74,416,396,0,283,"Albuquerque, NM",35.1170025,-106.632718,0,2,3
2944,@captainhook1962 @Starbucks and U have nerve to say Kellogg's hates republicans cause they pulled ads from white supremacist site? #foolish,38,6736,280,3138,504,"Altamonte Springs, FL",28.6648035,-81.393653,1,2,3
811,@TierraBlair7 they have mermaid travel mugs at Starbucks :) thought of you the moment I saw them,3,16463,203,8382,159,"Amarillo, TX",35.2111155,-101.816092,0,0,2
2256,Hella cute boys at the Starbucks,0,1613,97,131,77,"Anaheim, CA",33.842863,-117.851089,0,1,3
3018,I need to go to Starbucks before I take my badge selfie,155,42685,56850,51067,9176,"Anaheim, CA",33.842863,-117.851089,0,0,2
1851,My sister works at the Starbucks in circle c í _í_„,4,14272,284,19098,231,"Anderson Mill, TX",30.455692,-97.8083795,0,0,2
2297,**Why buy https://t.co/nTh6r0seNS,3,2414,646,3778,507,"Ann Arbor, MI",42.2708395,-83.7299715,0,0,2
834,"Want to work at Starbucks? We're #hiring in 2119 FULTON AVENUE, #SACRAMENTO, CA! Click for details: https://t.co/khLnWQFkBk #Hospitality",92,1036,389,0,285,"Arden-Arcade, CA",38.6040335,-121.375689,0,0,2
1852,Tasty drinks. @ Starbucks https://t.co/Ds5AXEFuCX,1,2031,44,1243,212,"Atlanta, GA",33.7671945,-84.433106,0,1,3
2059,"MacBook , Starbucks vibes only",0,4381,342,1969,260,"Atlanta, GA",33.7671945,-84.433106,0,0,2
1691,Hmmmmm Sweet Passion Sunrise í _í¸_í _í´¥ #Starbucks https://t.co/PkuxO5SzY2,1,20405,1150,2315,2004,"Baltimore, MD",39.284713,-76.620482,0,2,3
311,"""on my way to get you so we can get starbucks"" OUUUU YESSSSSSS í _í_–í _í¸©",0,730,94,306,91,"Beaumont, TX",30.086918,-94.1286335,0,0,2
1318,"The guy in front of me in the Starbucks line just ordered from a list. Jesus don't let me be here long",9,73623,692,4321,460,"Beaumont, TX",30.086918,-94.1286335,0,0,2
1327,Jesus be a Starbucks barista https://t.co/z6CDZ241CU,9,73624,692,4321,460,"Beaumont, TX",30.086918,-94.1286335,0,0,2
1917,"It's cold season! Which means Starbucks! Oh my heart and body is now warm ;) heheNow off toâ€_ https://t.co/JxHCekQXkC",0,2671,355,9,261,"Bentonville, AR",36.3739955,-94.2187445,1,0,1
3136,trying to slide to Starbucks .. and somewhere for dinner. idk what I want though â˜_ï¸èï¸è,8,87983,2399,5291,981,"Birmingham, AL",33.5422375,-86.793917,0,1,3
1337,Join the Starbucks team! See our latest #job opening here: https://t.co/UQQAyVGvcw #Hospitality #Veterans #Hiring #CareerArc,115,897,463,0,269,"Boca Raton, FL",26.3739755,-80.134986,0,2,3
1309,"Join the Starbucks team! See our latest #job opening here: https://t.co/IgBGYpJ8zp #Hospitality 1797 W. STATE STREET, #BOISE, ID #Veterans",47,158,342,0,265,"Boise, ID",43.598033,-116.238001,0,2,3
3050,#rescuedogs love #Starbucks #puppyccino @ Starbucks https://t.co/XPGmL9OVgT,3,302,50,510,145,"Boise, ID",43.598033,-116.238001,0,1,3
2339,Hoje Ã© dia de patinar ... esperando alguns amigos no Sarbucks para seguir passeio !! @ Starbucks https://t.co/IPaqkhLphn,29,4113,1980,22,232,"Boston, MA",42.3136695,-71.0887125,0,0,2
778,the best part about working at Starbucks is the happy face a dog makes when you hand them the puppiccinoí _í¸_âù_ï¸èâù_ï¸è,5,5148,670,1983,554,"Brighton, CO",39.961856,-104.8130265,0,2,3
820,the best part about working at Starbucks is the happy face a dog makes when you hand them their puppuccino í _í¸_âù_ï¸èâù_ï¸è,5,5148,670,1983,554,"Brighton, CO",39.961856,-104.8130265,0,2,3
673,"Join the Starbucks team! See our latest #job opening here: https://t.co/ZuuWjBqCPK #Hospitality 473 HARVARD ST, #BROOKLINE, MA #Veterans",133,1593,454,0,292,"Brookline, MA",42.323239,-71.1421555,0,2,3
2306,"Join the Starbucks team! See our latest #job opening here: https://t.co/ExnZ39pQ6Z #BusinessMgmt 183 GROVE STREET, #BROOKLINE, MA #Veterans",168,598,466,0,260,"Brookline, MA",42.323239,-71.1421555,0,2,3
2759,"Want to work at Starbucks? We're #hiring in 1655 BEACON STREET, #BROOKLINE, MA! Click for details: https://t.co/5i7WtSqX68 #BusinessMgmt",169,598,465,0,260,"Brookline, MA",42.323239,-71.1421555,0,0,2
1508,When ppl criticize Starbucks or Pitchfork; dude they are the reason why you ever cared about any of this shit,4,3471,283,3463,393,"Brooklyn, NY",40.655138,-73.9487755,2,1,1
3045,Love these girls!!! Such good kids! Post basketball game Starbucks.â€_ https://t.co/tLljwj0O6B,42,8339,977,202,1911,"Brooklyn, NY",40.655138,-73.9487755,0,3,3
1017,"Want to work at Starbucks? We're #hiring in 15295 I-35, #BUDA, TX! Click for details: https://t.co/zLwtGxIVgC #Job #Hospitality #Veterans",101,956,436,0,287,"Buda, TX",30.086299,-97.844068,0,1,3
1743,"I'm at Starbucks in Burbank, CA https://t.co/fgLTTfh7UB",23,13999,945,2462,1934,"Burbank, CA",34.18216,-118.325145,0,0,2
3040,í _í¸_í _í¸_í _í_€ https://t.co/hKlPIMqfuS,30,16696,1924,379,1121,"Fresco, CA",37.2691755,-119.3066075,0,0,2
1482,"Join the Starbucks team! See our latest #job opening here: https://t.co/TKyszFG4bL #Hospitality 6300 GARFIELD AVE, #SACRAMENTO, CA #Hiring",92,1035,389,0,285,"Carmichael, CA",38.641305,-121.318722,0,2,3
181,Warm cookies and milk?!  These Starbucks Ladies are awesome.... they are also dangerous for my waistline. https://t.co/SPV8FFILmy,0,183,9,179,60,"Cary, NC",35.7561885,-78.837021,1,0,1
