"FIPS" "geoid" "Stabr" "County_Name" "Rural_Urban_Continuum_Code_2013" "Urban_Influence_2013" "Metro_Nonmetro_2013" "Metro_Micro_Noncore_2013" "year" "oilwithdraw" "gaswithdraw" "oil_change_group" "gas_change_group" "oil_gas_change_group"
"1" 1001 1001 "AL" "Autauga County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"2" 1003 1003 "AL" "Baldwin County" 3 2 1 2 "2000" 138072 72543902 "Status Quo" "H_Decline" "H_Decline"
"3" 1005 1005 "AL" "Barbour County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"4" 1007 1007 "AL" "Bibb County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"5" 1009 1009 "AL" "Blount County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"6" 1011 1011 "AL" "Bullock County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"7" 1013 1013 "AL" "Butler County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"8" 1015 1015 "AL" "Calhoun County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"9" 1017 1017 "AL" "Chambers County" 6 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"10" 1019 1019 "AL" "Cherokee County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"11" 1021 1021 "AL" "Chilton County" 1 1 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"12" 1023 1023 "AL" "Choctaw County" 9 10 0 0 "2000" 652067 283457 "Status Quo" "Status Quo" "Status Quo"
"13" 1025 1025 "AL" "Clarke County" 7 11 0 0 "2000" 330933 100704 "Status Quo" "Status Quo" "Status Quo"
"14" 1027 1027 "AL" "Clay County" 9 10 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"15" 1029 1029 "AL" "Cleburne County" 8 4 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"16" 1031 1031 "AL" "Coffee County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"17" 1033 1033 "AL" "Colbert County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"18" 1035 1035 "AL" "Conecuh County" 7 11 0 0 "2000" 110132 132402 "H_Growth" "H_Growth" "H_Growth"
"19" 1037 1037 "AL" "Coosa County" 8 3 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"20" 1039 1039 "AL" "Covington County" 6 6 0 0 "2000" 393178 7907 "Status Quo" "Status Quo" "Status Quo"
"21" 1041 1041 "AL" "Crenshaw County" 8 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"22" 1043 1043 "AL" "Cullman County" 4 3 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"23" 1045 1045 "AL" "Dale County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"24" 1047 1047 "AL" "Dallas County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"25" 1049 1049 "AL" "DeKalb County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"26" 1051 1051 "AL" "Elmore County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"27" 1053 1053 "AL" "Escambia County" 6 6 0 0 "2000" 3177453 31031460 "H_Decline" "H_Decline" "H_Decline"
"28" 1055 1055 "AL" "Etowah County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"29" 1057 1057 "AL" "Fayette County" 6 6 0 0 "2000" 27599 1604622 "Status Quo" "Status Quo" "Status Quo"
"30" 1059 1059 "AL" "Franklin County" 6 6 0 0 "2000" 0 30338 "Status Quo" "Status Quo" "Status Quo"
"31" 1061 1061 "AL" "Geneva County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"32" 1063 1063 "AL" "Greene County" 8 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"33" 1065 1065 "AL" "Hale County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"34" 1067 1067 "AL" "Henry County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"35" 1069 1069 "AL" "Houston County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"36" 1071 1071 "AL" "Jackson County" 6 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"37" 1073 1073 "AL" "Jefferson County" 1 1 1 2 "2000" 0 10251702 "Status Quo" "H_Growth" "H_Growth"
"38" 1075 1075 "AL" "Lamar County" 8 7 0 0 "2000" 171729 6120422 "Status Quo" "H_Decline" "H_Decline"
"39" 1077 1077 "AL" "Lauderdale County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"40" 1079 1079 "AL" "Lawrence County" 3 2 1 2 "2000" 0 12 "Status Quo" "Status Quo" "Status Quo"
"41" 1081 1081 "AL" "Lee County" 3 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"42" 1083 1083 "AL" "Limestone County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"43" 1085 1085 "AL" "Lowndes County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"44" 1087 1087 "AL" "Macon County" 6 6 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"45" 1089 1089 "AL" "Madison County" 2 2 1 2 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"46" 1091 1091 "AL" "Marengo County" 7 11 0 0 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
"47" 1093 1093 "AL" "Marion County" 7 11 0 0 "2000" 0 280734 "Status Quo" "Status Quo" "Status Quo"
"48" 1095 1095 "AL" "Marshall County" 4 5 0 1 "2000" 0 0 "Status Quo" "Status Quo" "Status Quo"
