FIPS,geoid,Stabr,County_Name,Rural_Urban_Continuum_Code_2013,Urban_Influence_2013,Metro_Nonmetro_2013,Metro_Micro_Noncore_2013,oil2000,oil2001,oil2002,oil2003,oil2004,oil2005,oil2006,oil2007,oil2008,oil2009,oil2010,oil2011,gas2000,gas2001,gas2002,gas2003,gas2004,gas2005,gas2006,gas2007,gas2008,gas2009,gas2010,gas2011,oil_change_group,gas_change_group,oil_gas_change_group
1001,01001,AL,Autauga County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1003,01003,AL,Baldwin County,3,2,1,2,138072,134666,138011,127985,130763,118043,103992,112303,97623,84982,101955,94638,72543902,98699994,107142655,101510068,90146850,84536875,83951640,82876786,78547145,68525628,63069025,51041072,Status Quo,H_Decline,H_Decline
1005,01005,AL,Barbour County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1007,01007,AL,Bibb County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8301,98853,480015,684143,551719,453132,400504,Status Quo,Status Quo,Status Quo
1009,01009,AL,Blount County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20516,61054,3594,21496,Status Quo,Status Quo,Status Quo
1011,01011,AL,Bullock County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1013,01013,AL,Butler County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1015,01015,AL,Calhoun County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1017,01017,AL,Chambers County,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1019,01019,AL,Cherokee County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1021,01021,AL,Chilton County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1023,01023,AL,Choctaw County,9,10,0,0,652067,603845,564213,527582,463107,424154,363061,429449,442936,350345,375372,372512,283457,308097,351183,333110,330232,293620,256483,337575,677198,343412,362477,326952,Status Quo,Status Quo,Status Quo
1025,01025,AL,Clarke County,7,11,0,0,330933,319891,285497,301260,252415,235616,214651,201348,191449,183050,169480,170611,100704,102275,85661,79814,88344,85342,66184,61460,55108,56843,41448,43093,Status Quo,Status Quo,Status Quo
1027,01027,AL,Clay County,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1029,01029,AL,Cleburne County,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1031,01031,AL,Coffee County,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1033,01033,AL,Colbert County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1035,01035,AL,Conecuh County,7,11,0,0,110132,142044,96223,116122,423467,1207237,1687577,1821208,2531941,2485039,2352547,3294092,132402,139643,51886,105935,411087,1055787,1488366,1612418,1950537,2597540,3040205,4078749,H_Growth,H_Growth,H_Growth
1037,01037,AL,Coosa County,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1039,01039,AL,Covington County,6,6,0,0,393178,381704,374895,398076,276730,212249,113791,89942,94626,60526,52693,49898,7907,4042,1472,705,40,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1041,01041,AL,Crenshaw County,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1043,01043,AL,Cullman County,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,Status Quo,Status Quo,Status Quo
1045,01045,AL,Dale County,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1047,01047,AL,Dallas County,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1049,01049,AL,DeKalb County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1051,01051,AL,Elmore County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1053,01053,AL,Escambia County,6,6,0,0,3177453,2751701,2513055,2149268,1958877,1910301,1858389,1846484,1747558,1543844,1973372,2371492,31031460,27700443,25444234,20561498,20232098,18903484,17387157,17792633,17999550,16645033,18331521,19816843,H_Decline,H_Decline,H_Decline
1055,01055,AL,Etowah County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1057,01057,AL,Fayette County,6,6,0,0,27599,25891,24431,20952,19759,18685,18340,19664,19155,20575,18037,17242,1604622,1518668,1311417,1128933,1305364,1314239,1354075,1299015,1348982,1214699,1139279,1078778,Status Quo,Status Quo,Status Quo
1059,01059,AL,Franklin County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30338,34457,35604,29116,9487,7425,5295,5125,4939,5005,3819,4621,Status Quo,Status Quo,Status Quo
1061,01061,AL,Geneva County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1063,01063,AL,Greene County,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1065,01065,AL,Hale County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664,5941,0,0,0,0,Status Quo,Status Quo,Status Quo
1067,01067,AL,Henry County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1069,01069,AL,Houston County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1071,01071,AL,Jackson County,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1073,01073,AL,Jefferson County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10251702,9350777,10726078,13659851,18394135,20411532,21919921,22557866,22139392,21505932,21296166,20787365,Status Quo,H_Growth,H_Growth
1075,01075,AL,Lamar County,8,7,0,0,171729,162623,139880,134646,125603,111587,100248,94836,86541,77157,73084,69513,6120422,6076533,5005095,4581801,4336293,3477654,3079998,2765743,2714560,2357032,2135804,1514185,Status Quo,H_Decline,H_Decline
1077,01077,AL,Lauderdale County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1079,01079,AL,Lawrence County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,1,0,Status Quo,Status Quo,Status Quo
1081,01081,AL,Lee County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1083,01083,AL,Limestone County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1085,01085,AL,Lowndes County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1087,01087,AL,Macon County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1089,01089,AL,Madison County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1091,01091,AL,Marengo County,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1093,01093,AL,Marion County,7,11,0,0,0,0,0,0,0,418,288,170,346,312,105,152,280734,286375,331352,258566,162119,139629,127314,152240,158922,129150,98884,89681,Status Quo,Status Quo,Status Quo
1095,01095,AL,Marshall County,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1097,01097,AL,Mobile County,2,2,1,2,3710055,3401063,3067259,2767659,2483722,2364273,2049759,1808295,1832596,1753774,1520858,1388002,170011360,137964723,124801053,119234138,96938427,88200377,79935796,66232459,60763586,53911301,49665852,42628648,H_Decline,H_Decline,H_Decline
1099,01099,AL,Monroe County,7,11,0,0,1513619,1199618,1203780,1148508,1124503,1107037,908485,623808,561643,521514,404957,369227,2078448,1904631,1738434,1575396,1369406,1485151,1180058,939039,857877,741337,674848,744539,H_Decline,Status Quo,H_Decline
1101,01101,AL,Montgomery County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1103,01103,AL,Morgan County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1105,01105,AL,Perry County,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1107,01107,AL,Pickens County,3,2,1,2,1070,1527,3879,2461,1367,2399,2837,5751,4311,4009,3631,18791,1078376,1255166,1090297,859153,834322,905605,927597,1144904,1017728,1410314,1568088,1492393,Status Quo,Status Quo,Status Quo
1109,01109,AL,Pike County,6,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1111,01111,AL,Randolph County,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1113,01113,AL,Russell County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1115,01115,AL,St. Clair County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10949,28901,51345,90405,94952,62375,31897,Status Quo,Status Quo,Status Quo
1117,01117,AL,Shelby County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,80745,0,0,14136,659948,1565548,2659027,3349266,3127810,2922800,2607444,2543541,Status Quo,Status Quo,Status Quo
1119,01119,AL,Sumter County,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1121,01121,AL,Talladega County,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1123,01123,AL,Tallapoosa County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1125,01125,AL,Tuscaloosa County,3,2,1,2,0,0,0,0,0,673,15,8,7,0,0,8,99078029,100617978,101697459,101869353,98150427,90226397,87513063,84206439,81166974,77872664,72815539,67470631,Status Quo,H_Decline,H_Decline
1127,01127,AL,Walker County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3181135,3757752,3695812,4008002,4439565,4413454,4428888,4323268,4720065,5127400,5578490,5175590,Status Quo,Status Quo,Status Quo
1129,01129,AL,Washington County,8,7,0,0,233623,221628,219816,199700,182361,148176,118048,118221,85303,103960,102321,142796,5588012,4408109,3353056,3142080,2800077,1911869,1626516,1033821,1074249,1087938,1262071,2174017,Status Quo,Status Quo,H_Decline
1131,01131,AL,Wilcox County,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
1133,01133,AL,Winston County,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22695,20471,342,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4001,04001,AZ,Apache County,6,6,0,0,57483,60297,63417,47289,51341,50251,54807,42692,51575,46193,40137,36925,368450,306576,304303,443434,331191,233158,608440,654530,523130,711787,183292,168310,Status Quo,Status Quo,Status Quo
4003,04003,AZ,Cochise County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4005,04005,AZ,Coconino County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4007,04007,AZ,Gila County,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4009,04009,AZ,Graham County,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4011,04011,AZ,Greenlee County,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4012,04012,AZ,La Paz County,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4013,04013,AZ,Maricopa County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4015,04015,AZ,Mohave County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4017,04017,AZ,Navajo County,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4019,04019,AZ,Pima County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4021,04021,AZ,Pinal County,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4023,04023,AZ,Santa Cruz County,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4025,04025,AZ,Yavapai County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
4027,04027,AZ,Yuma County,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5001,05001,AR,Arkansas County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5003,05003,AR,Ashley County,7,11,0,0,7740,7355,7310,7670,7650,7445,7467,7513,7266,8059,8103,8575,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5005,05005,AR,Baxter County,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5007,05007,AR,Benton County,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5009,05009,AR,Boone County,7,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5011,05011,AR,Bradley County,7,9,0,0,22371,17048,18598,20056,19711,18675,26395,25356,28003,17890,28759,35559,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5013,05013,AR,Calhoun County,9,8,0,1,16931,16901,13200,16911,22668,27635,31398,24379,20061,11725,13621,12328,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5015,05015,AR,Carroll County,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
5017,05017,AR,Chicot County,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Status Quo,Status Quo,Status Quo
